# Settings text, English on the left, Indonesian on the right, one entry per line, tab separated.
# scripts/gen-l10n.py turns this into a table inside L10nTranslations.java.
# Keep %s and %d placeholders, {tokens} and product names as they are.
Settings	Pengaturan
Hide tabs TikTok adds later unless you allow them.	Sembunyikan tab yang TikTok tambahkan kemudian, kecuali kamu mengizinkannya.
Filter bottom tabs	Filter tab bawah
Choose which loaded TikTok bottom navigation tabs should stay visible.	Pilih tab navigasi bawah TikTok mana yang tetap terlihat.
Allowed bottom tabs	Tab bawah yang diizinkan
Open TikTok home to detect loaded bottom tabs.	Buka beranda TikTok untuk mendeteksi tab bawah yang dimuat.
All loaded tabs	Semua tab yang dimuat
Home	Beranda
For You	For You
Block new bottom tabs	Blokir tab bawah yang baru
Hide bottom tabs TikTok adds later unless you allow them.	Sembunyikan tab bawah yang TikTok tambahkan kemudian, kecuali kamu mengizinkannya.
Hide Tako AI	Sembunyikan Tako AI
Hide the Tako AI feed bubble above the profile button.	Sembunyikan gelembung Tako AI di feed, tepat di atas tombol profil.
Caption text size	Ukuran teks keterangan
Use 0 for TikTok's size, or 12 to 48 sp. Applies to the next caption.	Pakai 0 untuk ukuran bawaan TikTok, atau 12 sampai 48 sp. Berlaku untuk keterangan berikutnya.
Caption background	Latar keterangan
TikTok default	Bawaan TikTok
Transparent	Transparan
Dark	Gelap
Black	Hitam
Keep captions in clear display	Pertahankan keterangan saat tampilan bersih
Show the current spoken caption while the other controls are hidden.	Tampilkan teks ucapan yang sedang berjalan meski kontrol lain disembunyikan.
Allow screenshots and Circle to Search	Izinkan tangkapan layar dan Circle to Search
Remove secure window flags. Restart TikTok after changing.	Hapus flag jendela aman. Mulai ulang TikTok setelah mengubahnya.
Automatic clear display	Tampilan bersih otomatis
Hide controls after each video starts. Tap to restore them.	Sembunyikan kontrol setelah tiap video mulai. Ketuk untuk memunculkannya lagi.
Clear display delay	Jeda tampilan bersih
Wait before hiding the controls.	Tunggu sebelum kontrol disembunyikan.
Double tap	Ketuk dua kali
Do nothing	Tidak melakukan apa pun
Open comments	Buka komentar
Long press	Tekan lama
TikTok default (2x hold, quick share)	Bawaan TikTok (tahan 2x, bagikan cepat)
Confirm before following	Konfirmasi sebelum mengikuti
Tap the feed Follow button twice within four seconds.	Ketuk tombol Ikuti di feed dua kali dalam empat detik.
Confirm before liking	Konfirmasi sebelum menyukai
Tap the like heart twice within four seconds. Removing a like stays immediate.	Ketuk ikon hati dua kali dalam empat detik. Membatalkan suka tetap langsung berlaku.
Hide floating promotions	Sembunyikan promosi mengambang
Hide floating promotion badges, coins, and timer banners on the homepage.	Sembunyikan lencana promosi mengambang, koin, dan spanduk penghitung waktu di beranda.
Hide CAPTCHA popups	Sembunyikan popup CAPTCHA
Hide browsing and LIVE puzzle dialogs. Login, account verification and any puzzle raised over a follow, like, comment or repost stay visible.	Sembunyikan dialog teka-teki saat menjelajah dan saat LIVE. Teka-teki untuk masuk, verifikasi akun, dan yang muncul saat mengikuti, menyukai, berkomentar, atau membagikan ulang tetap terlihat.
Always show publish date	Selalu tampilkan tanggal unggah
Always show the publish date in video author information. Requires restart.	Selalu tampilkan tanggal unggah di informasi pembuat video. Perlu mulai ulang.
Skip content warnings	Lewati peringatan konten
Play videos TikTok has classified without the overlay asking to be tapped through first.	Putar video yang diklasifikasi TikTok tanpa lapisan yang harus diketuk lebih dulu.
Show where a video was posted	Tampilkan asal unggahan video
Show the country a video was posted from next to the creator's name.	Tampilkan negara asal unggahan video di sebelah nama kreator.
Hide the caption	Sembunyikan keterangan
Hide the description under the creator's name on the feed.	Sembunyikan deskripsi di bawah nama kreator pada feed.
Hide the music line	Sembunyikan baris musik
Hide the spinning music cover and the track name beside the caption.	Sembunyikan sampul musik yang berputar dan nama lagu di samping keterangan.
Hide the action bar	Sembunyikan bilah aksi
Hide the column on the right: avatar, like, comments, favourite, share and the music disc.	Sembunyikan kolom di sebelah kanan: foto profil, suka, komentar, favorit, bagikan, dan piringan musik.
Hide surveys	Sembunyikan survei
Hide the question cards TikTok slides over a video near its end.	Sembunyikan kartu pertanyaan yang TikTok munculkan menjelang akhir video.
Hide the status bar	Sembunyikan bilah status
Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.	Sembunyikan jam dan ikon status selama TikTok terbuka. Geser dari atas untuk mengintipnya.
Hide visual search prompt	Sembunyikan ajakan pencarian visual
Hide the "Search this image" prompt TikTok shows over videos when it spots something to shop for.	Sembunyikan ajakan "Cari gambar ini" yang TikTok tampilkan di atas video saat menemukan sesuatu yang bisa dibeli.
Hide Live entrance	Sembunyikan pintu masuk LIVE
Hide the Live button in the top left corner of the feed.	Sembunyikan tombol LIVE di pojok kiri atas feed.
Hide feed search button	Sembunyikan tombol cari di feed
Hide the search button in the top right corner of the feed.	Sembunyikan tombol cari di pojok kanan atas feed.
Hide feed follow button	Sembunyikan tombol ikuti di feed
Hide the plus button under the creator's avatar on the action rail.	Sembunyikan tombol tambah di bawah foto profil kreator pada kolom aksi.
Hide feed save button	Sembunyikan tombol simpan di feed
Hide the save button on the action rail.	Sembunyikan tombol simpan pada kolom aksi.
Auto translate comments	Terjemahkan komentar otomatis
Automatically translates loaded comment batches using TikTok's translation system.	Menerjemahkan komentar yang dimuat secara otomatis lewat sistem terjemahan TikTok.
Hide quick comment reactions	Sembunyikan reaksi komentar cepat
Hide TikTok's exposed quick emoji row in supported comment inputs.	Sembunyikan baris emoji cepat yang TikTok tampilkan di kolom komentar yang mendukungnya.
Copy comments without username	Salin komentar tanpa nama pengguna
Copy only the comment text when using TikTok's copy comment action.	Salin teks komentarnya saja saat memakai aksi salin komentar milik TikTok.
Filter comments by keyword	Filter komentar berdasarkan kata kunci
Hide comments that contain any of the words below, or that come from the accounts below.	Sembunyikan komentar yang memuat salah satu kata di bawah, atau yang berasal dari akun di bawah.
Blocked comment words	Kata komentar yang diblokir
Comma separated. A comment is hidden if its text contains any of them. Case does not matter.	Dipisahkan koma. Sebuah komentar disembunyikan jika teksnya memuat salah satunya. Huruf besar kecil tidak berpengaruh.
Hidden commenters	Pengomentar yang disembunyikan
Comma separated usernames or display names whose comments are hidden.	Nama pengguna atau nama tampilan dipisahkan koma yang komentarnya disembunyikan.
Thumbs down blocks the commenter	Jempol ke bawah memblokir pengomentar
The thumbs down on each comment blocks the account that posted it instead of disliking. The comment dims, an undo banner follows, and a second tap unblocks. Takes effect after a restart.	Jempol ke bawah pada tiap komentar memblokir akun yang menulisnya, bukan menandai tidak suka. Komentarnya meredup, muncul spanduk untuk mengurungkan, dan ketukan kedua membuka blokirnya. Berlaku setelah mulai ulang.
Save subtitles beside videos	Simpan subtitle bersama video
Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions.	Simpan berkas SRT bersama videonya. Penyimpanan berpasangan memakai Movies di Android 11+, Download di Android 10, dan folder videomu di versi lama.
Subtitle language	Bahasa subtitle
Original language	Bahasa asli
Device language, then original	Bahasa perangkat, lalu bahasa asli
All available languages	Semua bahasa yang tersedia
Video download quality	Kualitas unduhan video
Automatic	Otomatis
Highest	Tertinggi
Lowest	Terendah
Download original photos	Unduh foto asli
Save every photo in the post directly from its source URL, without rendering it again.	Simpan setiap foto dalam unggahan langsung dari URL sumbernya, tanpa dirender ulang.
Video destination	Lokasi simpan video
Photo destination	Lokasi simpan foto
Sticker destination	Lokasi simpan stiker
Video filename	Nama berkas video
Tokens: {creator}, {date}, {video_id}. The file extension is kept automatically.	Token: {creator}, {date}, {video_id}. Ekstensi berkas dipertahankan otomatis.
Photo filename	Nama berkas foto
Tokens: {creator}, {date}, {video_id}, {index}. The file extension is kept automatically.	Token: {creator}, {date}, {video_id}, {index}. Ekstensi berkas dipertahankan otomatis.
Comment media filename	Nama berkas media komentar
Tokens: {date}, {media_id}. Works for image and video stickers.	Token: {date}, {media_id}. Berlaku untuk stiker gambar dan video.
Remove watermark	Hapus tanda air
Apply to video downloads and image downloads.	Berlaku untuk unduhan video dan unduhan gambar.
Custom offline videos	Batas video offline khusus
Adds a custom option to TikTok's offline videos menu after restart.	Menambahkan opsi khusus ke menu video offline TikTok setelah mulai ulang.
Offline videos limit	Batas video offline
Choose 1-1000 videos. Values outside this range use the nearest valid limit. Restart TikTok after saving.	Pilih 1 sampai 1000 video. Nilai di luar rentang ini memakai batas sah terdekat. Mulai ulang TikTok setelah menyimpan.
Advance when a video ends	Lanjut saat video berakhir
Keep automatic advance enabled. Pauses and open dialogs still stop scrolling. Restart after enabling it; use this switch to turn it off.	Biarkan lanjut otomatis tetap aktif. Jeda dan dialog yang terbuka tetap menghentikan gulir. Mulai ulang setelah mengaktifkannya; pakai sakelar ini untuk mematikannya.
Use a default playback speed	Pakai kecepatan pemutaran bawaan
Start each new video at your default. A manual choice lasts until the video changes.	Mulai tiap video baru pada kecepatan pilihanmu. Pilihan manual bertahan sampai videonya berganti.
Default playback speed	Kecepatan pemutaran bawaan
Speed menu choices	Pilihan di menu kecepatan
Up to 8 speeds from 0.5 to 3, separated by commas. Example: 0.5, 1, 1.5, 2, 2.5, 3. Leave empty for TikTok's list. Restart after changing this list.	Sampai 8 kecepatan dari 0,5 hingga 3, dipisahkan koma. Contoh: 0.5, 1, 1.5, 2, 2.5, 3. Kosongkan untuk memakai daftar TikTok. Mulai ulang setelah mengubah daftar ini.
Video playback quality	Kualitas pemutaran video
Hide new followers	Sembunyikan pengikut baru
Hide the New followers row.	Sembunyikan baris Pengikut baru.
Hide activity	Sembunyikan aktivitas
Hide the Activity row of likes and comments on your posts.	Sembunyikan baris Aktivitas berisi suka dan komentar pada unggahanmu.
Hide archive	Sembunyikan arsip
Hide the Archive row.	Sembunyikan baris Arsip.
Hide TikTok Tako	Sembunyikan TikTok Tako
Hide the TikTok Tako assistant conversation.	Sembunyikan percakapan asisten TikTok Tako.
Hide TikTok Shop updates and coupon messages.	Sembunyikan info terbaru TikTok Shop dan pesan kupon.
Hide message requests	Sembunyikan permintaan pesan
Hide the Message requests row.	Sembunyikan baris Permintaan pesan.
Hide conversations	Sembunyikan percakapan
Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still switched on.	Sembunyikan semua percakapan pesan langsung. Kotak Masuk jadi kosong kecuali apa pun yang masih kamu aktifkan.
Hide add people	Sembunyikan tambah orang
Hide the add people icon in the Inbox header.	Sembunyikan ikon tambah orang di header Kotak Masuk.
Hide search	Sembunyikan pencarian
Hide the search icon in the Inbox header.	Sembunyikan ikon cari di header Kotak Masuk.
Hide activity status	Sembunyikan status aktivitas
Hide the activity status control in the Inbox header.	Sembunyikan kontrol status aktivitas di header Kotak Masuk.
Hide rows by title	Sembunyikan baris berdasarkan judul
Comma separated list of any other Inbox row titles to hide, matched exactly. Use this for anything not listed above.	Daftar judul baris Kotak Masuk lain yang ingin disembunyikan, dipisahkan koma dan dicocokkan persis. Pakai ini untuk apa pun yang tidak ada di atas.
Hide stories tray	Sembunyikan deret Story
Hide the row of story avatars across the top of the Inbox.	Sembunyikan baris foto profil Story di bagian atas Kotak Masuk.
Hide suggested accounts	Sembunyikan akun yang disarankan
Hide suggested account rows.	Sembunyikan baris akun yang disarankan.
Expand activity list	Bentangkan daftar aktivitas
Show the whole Activity and New followers lists instead of stopping at a View all button.	Tampilkan seluruh daftar Aktivitas dan Pengikut baru, bukan berhenti di tombol Lihat semua.
Hide sharing apps	Sembunyikan aplikasi berbagi
Remove the Share via row.	Hapus baris Bagikan lewat.
Hide video actions	Sembunyikan aksi video
Remove the actions row from the share sheet.	Hapus baris aksi dari menu bagikan.
Confirm before sending to a friend	Konfirmasi sebelum mengirim ke teman
A tap on a person in the Send to row only selects them. A second tap on the same person within four seconds sends the video.	Satu ketukan pada orang di baris Kirim ke hanya memilihnya. Ketukan kedua pada orang yang sama dalam empat detik mengirim videonya.
Hide the Send to row	Sembunyikan baris Kirim ke
Remove the row of friends from the top of the share sheet.	Hapus baris teman dari bagian atas menu bagikan.
Hide people and options by name	Sembunyikan orang dan opsi berdasarkan nama
Comma separated names exactly as the share sheet shows them: friends in the Send to row, share targets such as Facebook, and actions such as Create group or Repost. Stable keys such as copy, save and dislike also work before the sheet opens.	Nama dipisahkan koma, persis seperti yang ditampilkan menu bagikan: teman di baris Kirim ke, tujuan berbagi seperti Facebook, dan aksi seperti Buat grup atau Bagikan ulang. Kunci tetap seperti copy, save, dan dislike juga berlaku sebelum menunya terbuka.
Override SIM details	Timpa detail SIM
Use the selected country and operator values. Restart TikTok after changing region settings.	Pakai nilai negara dan operator yang dipilih. Mulai ulang TikTok setelah mengubah pengaturan wilayah.
Match locale and timezone to country	Samakan lokal dan zona waktu dengan negara
Also override TikTok's region getters. Keeps your interface language. Requires Override SIM details and a restart; IP address and account rules still apply.	Timpa juga pembaca wilayah milik TikTok. Bahasa antarmukamu tidak berubah. Perlu Timpa detail SIM dan mulai ulang; aturan alamat IP dan akun tetap berlaku.
Override store region (experimental)	Timpa wilayah toko (eksperimental)
Use the preset for TikTok's account and store region getters too. May affect search. Requires the locale option and a restart.	Pakai praset itu untuk pembaca wilayah akun dan toko TikTok juga. Bisa memengaruhi pencarian. Perlu opsi lokal dan mulai ulang.
SIM country preset	Praset negara SIM
No preset selected	Tidak ada praset yang dipilih
Custom SIM details	Detail SIM khusus
Country ISO	ISO negara
us, gb, jp, ...	us, gb, jp, ...
Operator MCC/MNC	MCC/MNC operator
Example: 310260	Contoh: 310260
Operator name	Nama operator
Example: T-Mobile	Contoh: T-Mobile
Enable diagnostic logging	Aktifkan pencatatan diagnostik
Only enable when recording logs to report an issue. Leaving it on for too long can make TikTok feel laggy and may lead to crashes.	Aktifkan hanya saat merekam log untuk melaporkan masalah. Membiarkannya menyala terlalu lama bisa membuat TikTok terasa berat dan berpotensi mogok.
Capture crash reports locally	Rekam laporan mogok di perangkat
Save the latest available TikTok crash report for diagnostic export.	Simpan laporan mogok TikTok terbaru yang tersedia untuk diekspor sebagai diagnostik.
Included diagnostics	Diagnostik yang disertakan
Includes all Morphe diagnostic events.	Mencakup semua peristiwa diagnostik Morphe.
Export diagnostic report	Ekspor laporan diagnostik
Copy a quick report or save the full report as a file.	Salin laporan ringkas atau simpan laporan lengkap sebagai berkas.
Clear diagnostic data	Hapus data diagnostik
Clear buffered events and saved crash reports.	Hapus peristiwa yang tertahan dan laporan mogok yang tersimpan.
Comments beside the video	Komentar di samping video
Use the split layout on wider screens. Restart TikTok after changing this option or unfolding if the old layout remains.	Pakai tata letak terbagi pada layar yang lebih lebar. Mulai ulang TikTok setelah mengubah opsi ini atau setelah membuka lipatan jika tata letak lama masih muncul.
Split comment minimum width	Lebar minimum tata letak terbagi
Window width needed to enable the layout. Restart after changing.	Lebar jendela yang dibutuhkan agar tata letak ini aktif. Mulai ulang setelah mengubahnya.
Sanitize sharing links	Bersihkan tautan berbagi
Remove tracking parameters from shared links.	Hapus parameter pelacakan dari tautan yang dibagikan.
Open external links directly	Buka tautan luar secara langsung
Open profile and story website links in your system browser instead of TikTok's in-app browser.	Buka tautan situs di profil dan Story lewat peramban sistemmu, bukan peramban dalam aplikasi TikTok.
Show seekbar	Tampilkan bilah progres
Show the native seekbar on videos where TikTok would normally hide it.	Tampilkan bilah progres bawaan pada video yang biasanya disembunyikan TikTok.
Show seekbar thumbnail	Tampilkan pratinjau bilah progres
Show a video preview thumbnail while dragging the seekbar.	Tampilkan pratinjau video saat bilah progres digeser.
Stop video looping	Hentikan pengulangan video
Stop videos at the end instead of replaying them.	Hentikan video di akhir, bukan memutarnya ulang.
Resume videos after scrolling	Lanjutkan video setelah menggulir
Continue supported videos from where you stopped when you scroll back to them.	Lanjutkan video yang didukung dari titik terakhir saat kamu menggulir kembali ke video itu.
Enable hold-and-slide 2x lock	Aktifkan kunci 2x tahan lalu geser
Use TikTok's native hold, slide down, and release gesture to lock 2x speed.	Pakai gestur bawaan TikTok, tahan lalu geser ke bawah dan lepas, untuk mengunci kecepatan 2x.
Disable long-press quick share	Matikan bagikan cepat lewat tekan lama
Keep long-pressing Share from opening TikTok's quick-share interaction.	Cegah tekan lama pada Bagikan membuka bagikan cepat milik TikTok.
Disable long-press repost	Matikan bagikan ulang lewat tekan lama
Keep holding Like from opening TikTok's repost action.	Cegah menahan tombol Suka membuka aksi bagikan ulang milik TikTok.
Ghost mode	Mode senyap
Stop TikTok reporting that you viewed a story or a profile, that you are typing. Online status is unchanged. It cannot undo what the server has already recorded.	Hentikan TikTok melaporkan bahwa kamu melihat Story atau profil, dan bahwa kamu sedang mengetik. Status online tidak berubah. Ini tidak bisa membatalkan yang sudah tercatat di server.
Disable analytics and tracking	Matikan analitik dan pelacakan
Stop ByteDance AppLog events, AppsFlyer attribution, explicit Firebase screen reports and crash reporting from being sent. TikTok's own diagnostics go quiet with them.	Hentikan pengiriman peristiwa AppLog ByteDance, atribusi AppsFlyer, laporan layar Firebase, dan laporan mogok. Diagnostik milik TikTok ikut diam bersamanya.
Show block button on videos	Tampilkan tombol blokir di video
Add a block button to the video player that blocks the account that posted the current video in one tap. An undo action is shown after each block.	Tambahkan tombol blokir di pemutar video yang memblokir akun pengunggah video ini dalam satu ketukan. Aksi untuk mengurungkan muncul setelah tiap pemblokiran.
Not interested button	Tombol tidak tertarik
Add a button beside the block control to send feedback about the current video.	Tambahkan tombol di samping kontrol blokir untuk mengirim masukan tentang video ini.
Use non-personalized search	Pakai pencarian nonpersonal
Use TikTok's non-personalized search state instead of the saved account choice.	Pakai mode pencarian nonpersonal milik TikTok, bukan pilihan akun yang tersimpan.
Show Live search	Tampilkan pencarian LIVE
Show TikTok's search entry in the Live drawer where supported.	Tampilkan kolom cari TikTok di laci LIVE bila didukung.
Do not translate languages	Bahasa yang tidak diterjemahkan
No additional languages excluded	Tidak ada bahasa tambahan yang dikecualikan
%d languages excluded	%d bahasa dikecualikan
Leave maximum empty to keep it unlimited.	Kosongkan nilai maksimum agar tetap tanpa batas.
Folder picker is not available	Pemilih folder tidak tersedia
Folder picker is not available on this device	Pemilih folder tidak tersedia di perangkat ini
Only internal storage folders are supported	Hanya folder penyimpanan internal yang didukung
Could not open settings section	Bagian pengaturan tidak bisa dibuka
Make TikTok yours.	Jadikan TikTok milikmu.
YOUR EXPERIENCE	PENGALAMANMU
%s on	%s aktif
Source code and releases	Kode sumber dan rilis
Choose what reaches your feed	Pilih apa yang sampai ke feed-mu
Arrange your feed and bottom tabs	Atur feed dan tab bawahmu
Captions, gestures and on-screen controls	Keterangan, gestur, dan kontrol di layar
Filters, translation and copy options	Filter, terjemahan, dan opsi salin
Quality, files and subtitles	Kualitas, berkas, dan subtitle
Quality, speed and automatic advance	Kualitas, kecepatan, dan lanjut otomatis
Choose which rows and controls appear	Pilih baris dan kontrol yang muncul
People, shortcuts and sending controls	Orang, pintasan, dan kontrol pengiriman
Country and network preferences	Preferensi negara dan jaringan
Links, privacy and player tools	Tautan, privasi, dan perkakas pemutar
Backups and troubleshooting	Cadangan dan pemecahan masalah
Hushfeed hid a TikTok puzzle. Turn off Hide CAPTCHA popups if something stops working.	Hushfeed menyembunyikan satu teka-teki TikTok. Matikan Sembunyikan popup CAPTCHA kalau ada yang berhenti berfungsi.
TikTok refused the follow: %1$s	TikTok menolak permintaan mengikuti: %1$s
A hidden puzzle may be the cause.	Teka-teki yang disembunyikan bisa jadi penyebabnya.
code %1$s	kode %1$s
On mobile data	Saat memakai data seluler
