# Settings text, English on the left, German on the right, one entry per line, tab separated.
# scripts/gen-l10n.py turns this into a table inside L10nTranslations.java.
# Keep %s and %d placeholders, {tokens} and product names as they are.
Settings	Einstellungen
Hide the "Search this image" prompt TikTok shows over videos when it spots something to shop for.	Den Hinweis „Dieses Bild suchen“ ausblenden, den TikTok über Videos zeigt, wenn es etwas zum Kaufen erkennt.
Hide Live entrance	Live-Zugang ausblenden
Hide the Live button in the top left corner of the feed.	Die Live-Schaltfläche oben links im Feed ausblenden.
Hide feed search button	Suchschaltfläche im Feed ausblenden
Hide the search button in the top right corner of the feed.	Die Suchschaltfläche oben rechts im Feed ausblenden.
Hide feed follow button	Folgen-Schaltfläche im Feed ausblenden
Hide the plus button under the creator's avatar on the action rail.	Die Plus-Schaltfläche unter dem Avatar des Creators in der Aktionsleiste ausblenden.
Hide feed save button	Speichern-Schaltfläche im Feed ausblenden
Hide the save button on the action rail.	Die Speichern-Schaltfläche in der Aktionsleiste ausblenden.
Auto translate comments	Kommentare automatisch übersetzen
Automatically translates loaded comment batches using TikTok's translation system.	Übersetzt geladene Kommentare automatisch über TikToks Übersetzungssystem.
Hide quick comment reactions	Schnelle Kommentar-Reaktionen ausblenden
Hide TikTok's exposed quick emoji row in supported comment inputs.	TikToks Schnell-Emoji-Zeile in unterstützten Kommentarfeldern ausblenden.
Copy comments without username	Kommentare ohne Nutzernamen kopieren
Copy only the comment text when using TikTok's copy comment action.	Beim Kopieren eines Kommentars über TikTok nur den Kommentartext übernehmen.
Filter comments by keyword	Kommentare nach Stichwort filtern
Hide comments that contain any of the words below, or that come from the accounts below.	Kommentare ausblenden, die eines der Wörter unten enthalten oder von den Konten unten stammen.
Blocked comment words	Gesperrte Wörter in Kommentaren
Comma separated. A comment is hidden if its text contains any of them. Case does not matter.	Durch Kommas getrennt. Ein Kommentar wird ausgeblendet, wenn sein Text eines davon enthält. Groß- und Kleinschreibung spielt keine Rolle.
Hidden commenters	Ausgeblendete Kommentierende
Comma separated usernames or display names whose comments are hidden.	Nutzernamen oder Anzeigenamen, durch Kommas getrennt, deren Kommentare ausgeblendet werden.
Thumbs down blocks the commenter	Daumen runter blockiert den Kommentierenden
The thumbs down on each comment blocks the account that posted it instead of disliking. The comment dims, an undo banner follows, and a second tap unblocks. Takes effect after a restart.	Der Daumen runter an jedem Kommentar blockiert das Konto, das ihn geschrieben hat, statt ihn abzulehnen. Der Kommentar wird abgedunkelt, ein Rückgängig-Banner folgt, und ein zweites Tippen hebt die Blockierung auf. Wirkt nach einem Neustart.
Save subtitles beside videos	Untertitel neben Videos speichern
Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions.	SRT-Dateien zusammen mit dem Video speichern. Gemeinsame Speicherungen nutzen Movies ab Android 11, Download auf Android 10 und deinen Videoordner auf älteren Versionen.
Subtitle language	Untertitelsprache
Original language	Originalsprache
Device language, then original	Gerätesprache, dann Original
All available languages	Alle verfügbaren Sprachen
Video download quality	Qualität für Video-Downloads
Automatic	Automatisch
Highest	Höchste
Lowest	Niedrigste
Download original photos	Originalfotos herunterladen
Save every photo in the post directly from its source URL, without rendering it again.	Jedes Foto des Beitrags direkt von seiner Quell-URL speichern, ohne es neu zu rendern.
Video destination	Speicherort für Videos
Photo destination	Speicherort für Fotos
Sticker destination	Speicherort für Sticker
Video filename	Dateiname für Videos
Tokens: {creator}, {date}, {video_id}. The file extension is kept automatically.	Platzhalter: {creator}, {date}, {video_id}. Die Dateiendung bleibt automatisch erhalten.
Photo filename	Dateiname für Fotos
Tokens: {creator}, {date}, {video_id}, {index}. The file extension is kept automatically.	Platzhalter: {creator}, {date}, {video_id}, {index}. Die Dateiendung bleibt automatisch erhalten.
Comment media filename	Dateiname für Kommentar-Medien
Tokens: {date}, {media_id}. Works for image and video stickers.	Platzhalter: {date}, {media_id}. Gilt für Bild- und Video-Sticker.
Remove watermark	Wasserzeichen entfernen
Apply to video downloads and image downloads.	Gilt für Video- und Bild-Downloads.
Custom offline videos	Eigene Offline-Videos
Adds a custom option to TikTok's offline videos menu after restart.	Fügt TikToks Menü für Offline-Videos nach einem Neustart eine eigene Option hinzu.
Offline videos limit	Limit für Offline-Videos
Choose 1-1000 videos. Values outside this range use the nearest valid limit. Restart TikTok after saving.	Wähle 1 bis 1000 Videos. Werte außerhalb dieses Bereichs nutzen das nächstgelegene gültige Limit. Starte TikTok nach dem Speichern neu.
Advance when a video ends	Weiterschalten, wenn ein Video endet
Keep automatic advance enabled. Pauses and open dialogs still stop scrolling. Restart after enabling it; use this switch to turn it off.	Automatisches Weiterschalten eingeschaltet lassen. Pausen und offene Dialoge stoppen das Scrollen weiterhin. Nach dem Einschalten neu starten; zum Ausschalten diesen Schalter verwenden.
Use a default playback speed	Standard-Wiedergabegeschwindigkeit verwenden
Start each new video at your default. A manual choice lasts until the video changes.	Jedes neue Video mit deinem Standard starten. Eine manuelle Auswahl gilt, bis das Video wechselt.
Default playback speed	Standard-Wiedergabegeschwindigkeit
Speed menu choices	Auswahl im Geschwindigkeitsmenü
Up to 8 speeds from 0.5 to 3, separated by commas. Example: 0.5, 1, 1.5, 2, 2.5, 3. Leave empty for TikTok's list. Restart after changing this list.	Bis zu 8 Geschwindigkeiten von 0,5 bis 3, durch Kommas getrennt. Beispiel: 0.5, 1, 1.5, 2, 2.5, 3. Leer lassen für TikToks Liste. Nach dem Ändern der Liste neu starten.
Video playback quality	Wiedergabequalität
Hide new followers	Neue Follower ausblenden
Hide the New followers row.	Die Zeile „Neue Follower“ ausblenden.
Hide activity	Aktivität ausblenden
Hide the Activity row of likes and comments on your posts.	Die Zeile „Aktivität“ mit Likes und Kommentaren zu deinen Beiträgen ausblenden.
Hide archive	Archiv ausblenden
Hide the Archive row.	Die Zeile „Archiv“ ausblenden.
Hide TikTok Tako	TikTok Tako ausblenden
Hide the TikTok Tako assistant conversation.	Die Unterhaltung mit dem TikTok-Tako-Assistenten ausblenden.
Hide TikTok Shop updates and coupon messages.	TikTok-Shop-Updates und Gutschein-Nachrichten ausblenden.
Hide message requests	Nachrichtenanfragen ausblenden
Hide the Message requests row.	Die Zeile „Nachrichtenanfragen“ ausblenden.
Hide conversations	Unterhaltungen ausblenden
Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still switched on.	Jede Direktnachrichten-Unterhaltung ausblenden. Der Posteingang bleibt leer, abgesehen von allem, was sonst noch eingeschaltet ist.
Hide add people	„Personen hinzufügen“ ausblenden
Hide the add people icon in the Inbox header.	Das Symbol zum Hinzufügen von Personen in der Kopfzeile des Posteingangs ausblenden.
Hide search	Suche ausblenden
Hide the search icon in the Inbox header.	Das Suchsymbol in der Kopfzeile des Posteingangs ausblenden.
Hide activity status	Aktivitätsstatus ausblenden
Hide the activity status control in the Inbox header.	Das Element für den Aktivitätsstatus in der Kopfzeile des Posteingangs ausblenden.
Hide rows by title	Zeilen nach Titel ausblenden
Comma separated list of any other Inbox row titles to hide, matched exactly. Use this for anything not listed above.	Liste weiterer Posteingangs-Zeilentitel, durch Kommas getrennt, die genau übereinstimmend ausgeblendet werden. Nutze das für alles, was oben nicht aufgeführt ist.
Hide stories tray	Story-Leiste ausblenden
Hide the row of story avatars across the top of the Inbox.	Die Reihe der Story-Avatare oben im Posteingang ausblenden.
Hide suggested accounts	Vorgeschlagene Konten ausblenden
Hide new follower notifications	Benachrichtigungen über neue Follower ausblenden
Drop the notification saying somebody new followed you before it reaches the drawer. Every other notification is left alone, and the follower still appears in the Inbox.	Die Benachrichtigung, dass dir jemand Neues folgt, verwerfen, bevor sie in der Leiste landet. Alle anderen Benachrichtigungen bleiben unberührt, und der Follower erscheint weiterhin im Posteingang.
Hide message streaks	Nachrichten-Serien ausblenden
Take away the streak button in a chat and the reminder message that goes with it.	Entfernt die Serien-Schaltfläche in einem Chat und die zugehörige Erinnerung.
Hide suggested account rows.	Zeilen mit vorgeschlagenen Konten ausblenden.
Expand activity list	Aktivitätsliste ausklappen
Show the whole Activity and New followers lists instead of stopping at a View all button.	Die vollständigen Listen „Aktivität“ und „Neue Follower“ anzeigen, statt bei einer Schaltfläche „Alle anzeigen“ zu enden.
Hide sharing apps	Apps zum Teilen ausblenden
Remove the Share via row.	Die Zeile „Teilen über“ entfernen.
Hide video actions	Videoaktionen ausblenden
Remove the actions row from the share sheet.	Die Aktionszeile aus dem Teilen-Menü entfernen.
Confirm before sending to a friend	Vor dem Senden an Freunde bestätigen
A tap on a person in the Send to row only selects them. A second tap on the same person within four seconds sends the video.	Ein Tippen auf eine Person in der Zeile „Senden an“ wählt sie nur aus. Ein zweites Tippen auf dieselbe Person innerhalb von vier Sekunden sendet das Video.
Hide the Send to row	Zeile „Senden an“ ausblenden
Remove the row of friends from the top of the share sheet.	Die Freundesreihe oben im Teilen-Menü entfernen.
Hide people and options by name	Personen und Optionen nach Name ausblenden
Comma separated names exactly as the share sheet shows them: friends in the Send to row, share targets such as Facebook, and actions such as Create group or Repost. Stable keys such as copy, save and dislike also work before the sheet opens.	Namen, durch Kommas getrennt, genau so, wie das Teilen-Menü sie zeigt: Freunde in der Zeile „Senden an“, Ziele wie Facebook und Aktionen wie „Gruppe erstellen“ oder „Reposten“. Feste Schlüssel wie copy, save und dislike funktionieren auch, bevor das Menü sich öffnet.
Override SIM details	SIM-Angaben überschreiben
Use the selected country and operator values. Restart TikTok after changing region settings.	Die gewählten Werte für Land und Netzbetreiber verwenden. Starte TikTok nach dem Ändern der Regionseinstellungen neu.
Match locale and timezone to country	Sprache und Zeitzone an das Land anpassen
Also override TikTok's region getters. Keeps your interface language. Requires Override SIM details and a restart; IP address and account rules still apply.	Auch TikToks Regionsabfragen überschreiben. Deine Oberflächensprache bleibt erhalten. Erfordert „SIM-Angaben überschreiben“ und einen Neustart; IP-Adresse und Kontoregeln gelten weiterhin.
Override store region (experimental)	Store-Region überschreiben (experimentell)
Use the preset for TikTok's account and store region getters too. May affect search. Requires the locale option and a restart.	Die Vorgabe auch für TikToks Konto- und Store-Regionsabfragen verwenden. Kann die Suche beeinflussen. Erfordert die Sprachoption und einen Neustart.
SIM country preset	SIM-Ländervorgabe
No preset selected	Keine Vorgabe gewählt
Custom SIM details	Eigene SIM-Angaben
Country ISO	Länder-ISO
us, gb, jp, ...	us, gb, jp, ...
Operator MCC/MNC	Netzbetreiber MCC/MNC
Example: 310260	Beispiel: 310260
Operator name	Name des Netzbetreibers
Example: T-Mobile	Beispiel: T-Mobile
Enable diagnostic logging	Diagnoseprotokoll einschalten
Only enable when recording logs to report an issue. Leaving it on for too long can make TikTok feel laggy and may lead to crashes.	Nur einschalten, wenn du Protokolle für eine Fehlermeldung aufzeichnest. Bleibt es zu lange an, kann TikTok träge wirken und abstürzen.
Capture crash reports locally	Absturzberichte lokal speichern
Save the latest available TikTok crash report for diagnostic export.	Den neuesten verfügbaren TikTok-Absturzbericht für den Diagnose-Export speichern.
Included diagnostics	Enthaltene Diagnosedaten
Includes all Morphe diagnostic events.	Enthält alle Morphe-Diagnoseereignisse.
Export diagnostic report	Diagnosebericht exportieren
Copy a quick report or save the full report as a file.	Einen Kurzbericht kopieren oder den vollständigen Bericht als Datei speichern.
Clear diagnostic data	Diagnosedaten löschen
Clear buffered events and saved crash reports.	Zwischengespeicherte Ereignisse und gespeicherte Absturzberichte löschen.
Comments beside the video	Kommentare neben dem Video
Use the split layout on wider screens. Restart TikTok after changing this option or unfolding if the old layout remains.	Das geteilte Layout auf breiteren Bildschirmen verwenden. Starte TikTok nach dem Ändern dieser Option oder nach dem Aufklappen neu, falls das alte Layout bleibt.
Split comment minimum width	Mindestbreite für geteilte Kommentare
Window width needed to enable the layout. Restart after changing.	Fensterbreite, ab der das Layout aktiv wird. Nach dem Ändern neu starten.
Sanitize sharing links	Teilen-Links bereinigen
Remove tracking parameters from shared links.	Tracking-Parameter aus geteilten Links entfernen.
Open external links directly	Externe Links direkt öffnen
Open profile and story website links in your system browser instead of TikTok's in-app browser.	Website-Links aus Profilen und Storys im Systembrowser öffnen statt in TikToks In-App-Browser.
Show seekbar	Fortschrittsleiste anzeigen
Show the native seekbar on videos where TikTok would normally hide it.	Die native Fortschrittsleiste auch bei Videos anzeigen, bei denen TikTok sie sonst ausblendet.
Show seekbar thumbnail	Vorschaubild an der Fortschrittsleiste anzeigen
Show a video preview thumbnail while dragging the seekbar.	Beim Ziehen der Fortschrittsleiste ein Vorschaubild des Videos anzeigen.
Stop video looping	Videoschleife beenden
Stop videos at the end instead of replaying them.	Videos am Ende anhalten, statt sie zu wiederholen.
Resume videos after scrolling	Videos nach dem Scrollen fortsetzen
Continue supported videos from where you stopped when you scroll back to them.	Unterstützte Videos dort fortsetzen, wo du aufgehört hast, wenn du zu ihnen zurückscrollst.
Enable hold-and-slide 2x lock	2x-Sperre durch Halten und Wischen einschalten
Use TikTok's native hold, slide down, and release gesture to lock 2x speed.	TikToks eigene Geste „Halten, nach unten wischen, loslassen“ verwenden, um die 2x-Geschwindigkeit zu fixieren.
Disable long-press quick share	Schnelles Teilen bei langem Drücken abschalten
Keep long-pressing Share from opening TikTok's quick-share interaction.	Verhindern, dass langes Drücken auf „Teilen“ TikToks schnelles Teilen öffnet.
Disable long-press repost	Reposten bei langem Drücken abschalten
Keep holding Like from opening TikTok's repost action.	Verhindern, dass Halten von „Gefällt mir“ TikToks Repost-Aktion öffnet.
Ghost mode	Geistermodus
Stop TikTok reporting that you viewed a story or a profile, that you are typing. Online status is unchanged. It cannot undo what the server has already recorded.	TikTok nicht mehr melden lassen, dass du eine Story oder ein Profil angesehen hast oder gerade tippst. Der Online-Status bleibt unverändert. Was der Server bereits aufgezeichnet hat, lässt sich nicht rückgängig machen.
Disable analytics and tracking	Analyse und Tracking abschalten
